Symbol	Timeframe	ObsTime	RefTop	RefBot	Range	RefDir	Ext	RetracePips	RetracePct	Type	SeqType	InsideCount	LookaheadUsed	GapSize	HighMomentum	SameDirSupport	NearestFibPct	NearestFibDistPct	ValidSetup	InvalidReason	Volume	Spread_pips
NZDUSD	H4	2025-10-01T12:00:00	0.58197	0.57977	0.00220	Bull	0.58021	176.0	80.0000	Retracement	Single	0	1	0.00000	0	true	78.60	1.4000	true		12737	125.00
NZDUSD	H4	2025-10-01T00:00:00	0.58011	0.57911	0.00100	Bear	0.57981	70.0	70.0000	Retracement	Single	0	1	0.00000	0	true	61.80	8.2000	true		3960	125.00
NZDUSD	H4	2025-09-30T08:00:00	0.57931	0.57751	0.00180	Bull	0.57832	99.0	55.0000	Retracement	Single	0	1	0.00000	0	true	50.00	5.0000	true		11037	125.00
NZDUSD	H4	2025-09-30T04:00:00	0.57795	0.57702	0.00093	Bull	0.57751	44.0	47.3118	Retracement	Single	0	1	0.00000	0	true	50.00	2.6882	true		6755	125.00
NZDUSD	H4	2025-09-29T20:00:00	0.57890	0.57783	0.00107	Bear	0.57822	39.0	36.4486	Retracement	Single	0	1	0.00000	0	true	38.20	1.7514	true		2538	125.00
NZDUSD	H4	2025-09-29T16:00:00	0.57913	0.57788	0.00125	Bear	0.57890	102.0	81.6000	Retracement	Single	0	1	0.00000	0	true	78.60	3.0000	true		9232	125.00
NZDUSD	H4	2025-09-29T08:00:00	0.57908	0.57692	0.00216	Bull	0.57836	72.0	33.3333	Retracement	Single	0	1	0.00000	0	true	38.20	4.8667	true		7679	125.00
NZDUSD	H4	2025-09-29T04:00:00	0.57797	0.57585	0.00212	Bull	0.57692	105.0	49.5283	Retracement	Single	0	1	0.00000	0	true	50.00	0.4717	true		5313	125.00
NZDUSD	H4	2025-09-26T16:00:00	0.57685	0.57531	0.00154	Bull	0.57604	81.0	52.5974	Retracement	Single	0	1	0.00000	0	true	50.00	2.5974	true		12247	125.00
NZDUSD	H4	2025-09-26T04:00:00	0.57682	0.57544	0.00138	Bull	0.57591	91.0	65.9420	Retracement	Single	0	1	0.00000	0	true	61.80	4.1420	true		3951	125.00
NZDUSD	H4	2025-09-25T20:00:00	0.57953	0.57684	0.00269	Bear	0.57706	22.0	8.1784	Retracement	Single	0	1	0.00000	0	true	23.60	15.4216	true		5269	125.00
NZDUSD	H4	2025-09-25T16:00:00	0.58302	0.57895	0.00407	Bear	0.57953	58.0	14.2506	Retracement	Single	0	1	0.00000	0	true	23.60	9.3494	true		13631	125.00
