Open,Close,Change,Duration
2248.52,2248.629,0.109,5.0
2248.806,2249.238,0.432,5.0
2249.046,2250.953,1.907,5.0
2250.82,2250.239,-0.581,5.0
2250.638,2248.347,-2.291,5.0
2248.386,2251.0,2.614,5.0
2250.874,2252.075,1.201,5.0
2252.148,2252.596,0.448,5.0
2252.597,2252.559,-0.038,5.0
2252.62,2249.734,-2.886,5.0
2249.549,2250.046,0.497,5.0
2249.947,2251.705,1.758,5.0
2252.083,2255.014,2.931,5.0
2255.15,2255.102,-0.048,5.0
2255.113,2253.99,-1.123,5.0
2253.911,2253.96,0.049,5.0
2254.038,2252.177,-1.861,5.0
2252.025,2252.574,0.549,5.0
2252.414,2251.897,-0.517,5.0
2251.64,2249.332,-2.308,5.0
2249.384,2249.506,0.122,5.0
2249.527,2246.686,-2.841,5.0
2246.633,2246.159,-0.474,5.0
2246.086,2246.071,-0.015,5.0
2246.059,2247.459,1.4,5.0
2247.657,2248.796,1.139,5.0
2248.892,2250.918,2.026,5.0
2250.806,2254.75,3.944,5.0
2254.608,2254.674,0.066,5.0
2254.641,2254.699,0.058,5.0
2254.602,2253.102,-1.5,5.0
2253.015,2255.138,2.123,5.0
2255.306,2257.696,2.39,5.0
2257.634,2257.11,-0.524,5.0
2257.128,2252.975,-4.153,5.0
2253.294,2250.84,-2.454,5.0
2250.859,2249.039,-1.8199999999999998,5.0
